Round,Player,Hand,Score,Dealer Card,Dealer Score,Result,Reason
1,1,2 9 6,17,5,24,1,Dealer Bust
1,2,5 6 A 4 5,21,5,24,1,Dealer Bust
1,3,4 10 5,19,5,24,1,Dealer Bust
1,4,3 2 4 5 6,20,5,24,1,Dealer Bust
1,5,A J,21,5,24,1,Dealer Bust
2,1,K 4 J,24,6,26,2,Bust
2,2,A 10,21,6,26,1,Dealer Bust
2,3,3 8 5 9,25,6,26,2,Bust
2,4,10 10,20,6,26,1,Dealer Bust
2,5,3 8 10,21,6,26,1,Dealer Bust
3,1,7 Q,17,8,17,3,Tie with Dealer
3,2,4 4 6 Q,24,8,17,2,Bust
3,3,A 5 6 4 5,21,8,17,1,Higher Score than Dealer
3,4,6 6 6,18,8,17,1,Higher Score than Dealer
3,5,A 4 J 9,24,8,17,2,Bust
4,1,Q 5 A 10,26,Q,20,2,Bust
4,2,K 7,17,Q,20,2,Lost to Dealer
4,3,J K,20,Q,20,3,Tie with Dealer
4,4,A 2 3 3,19,Q,20,2,Lost to Dealer
4,5,Q 7,17,Q,20,2,Lost to Dealer
5,1,A J,21,10,24,1,Dealer Bust
5,2,Q 10,20,10,24,1,Dealer Bust
5,3,A 2 7,20,10,24,1,Dealer Bust
5,4,4 4 Q,18,10,24,1,Dealer Bust
5,5,3 4 10,17,10,24,1,Dealer Bust
6,1,A 2 3 K 5,21,A,17,1,Higher Score than Dealer
6,2,6 10 Q,26,A,17,2,Bust
6,3,J Q,20,A,17,1,Higher Score than Dealer
6,4,8 7 8,23,A,17,2,Bust
6,5,J 3 10,23,A,17,2,Bust
7,1,Q 8,18,4,22,1,Dealer Bust
7,2,8 Q,18,4,22,1,Dealer Bust
7,3,2 K A 2 K,25,4,22,2,Bust
7,4,Q 6 Q,26,4,22,2,Bust
7,5,2 9 3 8,22,4,22,2,Bust
8,1,8 Q,18,K,23,1,Dealer Bust
8,2,J Q,20,K,23,1,Dealer Bust
8,3,7 Q,17,K,23,1,Dealer Bust
8,4,K A,21,K,23,1,Dealer Bust
8,5,J 6 9,25,K,23,2,Bust
9,1,6 10 8,24,5,20,2,Bust
9,2,J 7,17,5,20,2,Lost to Dealer
9,3,Q 8,18,5,20,2,Lost to Dealer
9,4,A A 9,21,5,20,1,Higher Score than Dealer
9,5,8 3 6,17,5,20,2,Lost to Dealer
10,1,A 8,19,2,21,2,Lost to Dealer
10,2,5 4 6 A K,26,2,21,2,Bust
10,3,2 4 5 6,17,2,21,2,Lost to Dealer
10,4,3 8 4 2,17,2,21,2,Lost to Dealer
10,5,8 5 2 4,19,2,21,2,Lost to Dealer
11,1,J Q,20,3,20,3,Tie with Dealer
11,2,J A,21,3,20,1,Higher Score than Dealer
11,3,3 J 6,19,3,20,2,Lost to Dealer
11,4,J 7,17,3,20,2,Lost to Dealer
11,5,3 9 9,21,3,20,1,Higher Score than Dealer
12,1,9 3 4 6,22,5,17,2,Bust
12,2,3 4 10,17,5,17,3,Tie with Dealer
12,3,7 Q,17,5,17,3,Tie with Dealer
12,4,9 10,19,5,17,1,Higher Score than Dealer
12,5,7 5 6,18,5,17,1,Higher Score than Dealer
13,1,J A,21,7,25,1,Dealer Bust
13,2,4 A 4,19,7,25,1,Dealer Bust
13,3,K 9,19,7,25,1,Dealer Bust
13,4,6 Q 2,18,7,25,1,Dealer Bust
13,5,7 5 J,22,7,25,2,Bust
14,1,9 9,18,J,19,2,Lost to Dealer
14,2,10 A,21,J,19,1,Higher Score than Dealer
14,3,5 K K,25,J,19,2,Bust
14,4,A J,21,J,19,1,Higher Score than Dealer
14,5,9 5 9,23,J,19,2,Bust
15,1,2 A 3 6 10,22,9,19,2,Bust
15,2,J 3 J,23,9,19,2,Bust
15,3,8 5 6,19,9,19,3,Tie with Dealer
15,4,8 J,18,9,19,2,Lost to Dealer
15,5,Q K,20,9,19,1,Higher Score than Dealer
16,1,3 J 9,22,J,20,2,Bust
16,2,4 5 4 5,18,J,20,2,Lost to Dealer
16,3,Q 4 J,24,J,20,2,Bust
16,4,4 J 6,20,J,20,3,Tie with Dealer
16,5,7 8 A 6,22,J,20,2,Bust
17,1,K 6 Q,26,2,22,2,Bust
17,2,K 4 Q,24,2,22,2,Bust
17,3,A 7,18,2,22,1,Dealer Bust
17,4,Q 2 9,21,2,22,1,Dealer Bust
17,5,7 10,17,2,22,1,Dealer Bust
18,1,5 3 5 6,19,A,17,1,Higher Score than Dealer
18,2,9 Q,19,A,17,1,Higher Score than Dealer
18,3,7 4 6,17,A,17,3,Tie with Dealer
18,4,7 K,17,A,17,3,Tie with Dealer
18,5,6 9 A A 3,20,A,17,1,Higher Score than Dealer
19,1,6 2 4 7,19,7,18,1,Higher Score than Dealer
19,2,Q 6 Q,26,7,18,2,Bust
19,3,K 9,19,7,18,1,Higher Score than Dealer
19,4,10 4 5,19,7,18,1,Higher Score than Dealer
19,5,K K,20,7,18,1,Higher Score than Dealer
20,1,J 6 8,24,K,23,2,Bust
20,2,4 4 2 J,20,K,23,1,Dealer Bust
20,3,4 A 10 9,24,K,23,2,Bust
20,4,4 J J,24,K,23,2,Bust
20,5,2 3 10 Q,25,K,23,2,Bust
21,1,10 7,17,6,21,2,Lost to Dealer
21,2,A A 5,17,6,21,2,Lost to Dealer
21,3,9 K,19,6,21,2,Lost to Dealer
21,4,4 Q J,24,6,21,2,Bust
21,5,10 7,17,6,21,2,Lost to Dealer
22,1,K A,21,3,19,1,Higher Score than Dealer
22,2,5 7 9,21,3,19,1,Higher Score than Dealer
22,3,K 3 8,21,3,19,1,Higher Score than Dealer
22,4,5 7 J,22,3,19,2,Bust
22,5,J J,20,3,19,1,Higher Score than Dealer
23,1,4 2 J 9,25,4,19,2,Bust
23,2,3 4 5 Q,22,4,19,2,Bust
23,3,3 8 Q,21,4,19,1,Higher Score than Dealer
23,4,3 7 4 8,22,4,19,2,Bust
23,5,Q 4 J,24,4,19,2,Bust
24,1,A J,21,8,18,1,Higher Score than Dealer
24,2,8 5 Q,23,8,18,2,Bust
24,3,5 J 6,21,8,18,1,Higher Score than Dealer
24,4,2 Q 10,22,8,18,2,Bust
24,5,A 10,21,8,18,1,Higher Score than Dealer
25,1,7 10,17,9,19,2,Lost to Dealer
25,2,J A,21,9,19,1,Higher Score than Dealer
25,3,9 J,19,9,19,3,Tie with Dealer
25,4,7 J,17,9,19,2,Lost to Dealer
25,5,A J,21,9,19,1,Higher Score than Dealer
26,1,3 3 8 Q,24,J,23,2,Bust
26,2,7 3 J,20,J,23,1,Dealer Bust
26,3,5 3 10,18,J,23,1,Dealer Bust
26,4,5 5 3 8,21,J,23,1,Dealer Bust
26,5,6 2 3 9,20,J,23,1,Dealer Bust
27,1,3 8 10,21,2,23,1,Dealer Bust
27,2,4 K 4,18,2,23,1,Dealer Bust
27,3,Q 9,19,2,23,1,Dealer Bust
27,4,5 2 4 4 2,17,2,23,1,Dealer Bust
27,5,10 5 4,19,2,23,1,Dealer Bust
28,1,3 9 2 5,19,K,20,2,Lost to Dealer
28,2,A J,21,K,20,1,Higher Score than Dealer
28,3,5 9 10,24,K,20,2,Bust
28,4,7 8 8,23,K,20,2,Bust
28,5,8 9,17,K,20,2,Lost to Dealer
29,1,4 J 3,17,8,19,2,Lost to Dealer
29,2,3 7 2 5,17,8,19,2,Lost to Dealer
29,3,9 A,20,8,19,1,Higher Score than Dealer
29,4,K K,20,8,19,1,Higher Score than Dealer
29,5,9 9,18,8,19,2,Lost to Dealer
30,1,J A,21,Q,20,1,Higher Score than Dealer
30,2,7 2 A,20,Q,20,3,Tie with Dealer
30,3,5 J J,25,Q,20,2,Bust
30,4,3 J 8,21,Q,20,1,Higher Score than Dealer
30,5,Q 7,17,Q,20,2,Lost to Dealer
31,1,5 4 8,17,8,18,2,Lost to Dealer
31,2,2 J 4 8,24,8,18,2,Bust
31,3,4 6 4 9,23,8,18,2,Bust
31,4,J 7,17,8,18,2,Lost to Dealer
31,5,7 A,18,8,18,3,Tie with Dealer
32,1,2 8 J,20,J,21,2,Lost to Dealer
32,2,Q 8,18,J,21,2,Lost to Dealer
32,3,5 K 2,17,J,21,2,Lost to Dealer
32,4,7 7 8,22,J,21,2,Bust
32,5,2 9 7,18,J,21,2,Lost to Dealer
33,1,2 8 8,18,A,18,3,Tie with Dealer
33,2,Q 2 A 9,22,A,18,2,Bust
33,3,6 A Q A,18,A,18,3,Tie with Dealer
33,4,A 9,20,A,18,1,Higher Score than Dealer
33,5,A 5 7 3 5,21,A,18,1,Higher Score than Dealer
34,1,8 7 J,25,3,20,2,Bust
34,2,3 2 A 8 8,22,3,20,2,Bust
34,3,7 8 9,24,3,20,2,Bust
34,4,9 9,18,3,20,2,Lost to Dealer
34,5,3 2 5 7,17,3,20,2,Lost to Dealer
35,1,5 6 5 4,20,6,17,1,Higher Score than Dealer
35,2,4 4 5 8,21,6,17,1,Higher Score than Dealer
35,3,Q J,20,6,17,1,Higher Score than Dealer
35,4,6 3 10,19,6,17,1,Higher Score than Dealer
35,5,5 5 9,19,6,17,1,Higher Score than Dealer
36,1,8 5 4,17,9,18,2,Lost to Dealer
36,2,4 9 4,17,9,18,2,Lost to Dealer
36,3,2 8 K,20,9,18,1,Higher Score than Dealer
36,4,J 6 K,26,9,18,2,Bust
36,5,7 5 4 3,19,9,18,1,Higher Score than Dealer
37,1,8 7 3,18,10,23,1,Dealer Bust
37,2,10 7,17,10,23,1,Dealer Bust
37,3,4 4 4 9,21,10,23,1,Dealer Bust
37,4,6 9 4,19,10,23,1,Dealer Bust
37,5,10 9,19,10,23,1,Dealer Bust
38,1,6 6 8,20,7,17,1,Higher Score than Dealer
38,2,3 Q 10,23,7,17,2,Bust
38,3,2 2 10 J,24,7,17,2,Bust
38,4,Q 6 Q,26,7,17,2,Bust
38,5,10 10,20,7,17,1,Higher Score than Dealer
39,1,K 9,19,A,17,1,Higher Score than Dealer
39,2,7 Q,17,A,17,3,Tie with Dealer
39,3,5 J 4,19,A,17,1,Higher Score than Dealer
39,4,10 9,19,A,17,1,Higher Score than Dealer
39,5,6 8 A 6,21,A,17,1,Higher Score than Dealer
40,1,7 8 Q,25,3,20,2,Bust
40,2,7 3 4 K,24,3,20,2,Bust
40,3,K J,20,3,20,3,Tie with Dealer
40,4,5 K 9,24,3,20,2,Bust
40,5,4 A Q 6,21,3,20,1,Higher Score than Dealer
41,1,Q 7,17,Q,20,2,Lost to Dealer
41,2,A 10,21,Q,20,1,Higher Score than Dealer
41,3,2 5 J,17,Q,20,2,Lost to Dealer
